Lithic ID,TA,Main,,,,Metrics,,,,,,,Implement Description,,,,,,,,,,,,,,Platform Typology,Removal blank,Core Typology,Termination,Comments,Photo Number,Sketch Number
,,Raw Material,Colour/Grain/Opacity,Pattern,Cortex (%),Weight (g),Length (mm),Width (mm),Thickness (mm),Bulb Thickness (mm),Platform Thickness (mm),platform Length (mm),Eraillure,Typology,Utilization,Retouch,Retouch Position,Retouch Localization,Retouch Distribution,Retouch Intensity,Retouch ANGLE,RETOUCH MORPHOLOGY,SHINE,Blank,Breakage,Num of Scars on Cores,,,,,,,
203,34,,7Fo,,0,,32.3,11.3,2.4,,,,,NOTCH ,1,1,INVERSED,,CONTINOUS,SHORT,LOW,sub parallel,,MICROBLADE-MEDIAL,,,,,,,,,
86,34,,5FS,,0,,16.6,6,1.6,1.7,2,1,,,0,0,,,,,,,,microblade,,,LINEAR,,,,,,
72,34,,5FS,,0,,27.6,8,1.7,1.7,,,,,0,0,,,,,,,,MICROBLADE-PRO,,,PUNCTIFORM,,,,,,
81,34,,5FO,,0,,32.8,11.6,2.5,2.7,,,,,0,0,,,,,,,,MICROBLADE-PRO,,,LINEAR,,,,,,
31,34,,5FS,,0,,25.7,7.4,1.4,2.1,2.5,1.8,0,,0,0,,,,,,,,MICROBLADE,,,,,,,,,
46,34,,5FO,,0,,39.1,13.6,3.1,,,,,,1,0,,,,,,,,MICROBLADE,,,,,,,,,
157,34,,5FO,,0,,34,9.9,3.6,5,4.5,1.7,0,,0,0,,,,,,,,MICROBLADE,,,FACETTED,,,,,,
27,34,,5FS,,0,,25.8,8.5,1.7,1.9,3.7,1.4,1,,0,0,,,,,,,,MICROBLADE,,,,,,,,,
102,34,,5FS,,0,,19.6,10,2.4,2.7,2.7,0.8,0,,0,0,,,,,,,,MICROBLADE-PRO,,,LINEAR,,,,,,
158,34,,5FS,,0,,42.3,7.3,1.9,1.9,3.1,0.8,0,,0,0,,,,,,,,MICROBLADE-PRO,,,LINEAR,,,,,,
147,34,,5FS,خالدار,0,,25.3,7.5,1.5,2.2,4.5,1.7,0,,,,,,,,,,,MICROBLADE-PRO,,,,,,,,,
*36,34,,5FO,,0,,25.2,11.2,3,,,,,retouch piece,1,1,DIRECT,,,SHORT,LOW,SUB PARALLEL,,MICROBLADE-DIS,1,,,,,,,,
51,34,,5FO,,0,,18.5,10.8,2.8,,,,,,0,0,,,,,,,,MICROBLADE-PRO,,,REMOVED,,,,,,
132,34,,5FS,,0,,32.8,5.7,0.8,1,2.4,0.4,0,,0,0,,,,,,,,MICROBLADE-PRO,,,LINEAR,,,,,,
124,34,,5FS,,0,,23.6,8.1,2.1,2.6,5,2.3,0,,0,0,,,,,,,,MICROBLADE-PRO,,,FACETTED,,,,,,
32,34,,5FO,,0,,25,6.1,2,2.2,,,,,1,0,,,,,,,,MICROBLADE,,,,,,,,,
80,34,,5FS,,0,,20.9,7,1.7,,,,,,0,0,,,,,,,,MICROBLADE-MEDIAL,,,,,,,,,
105,34,,5FO,,0,,22.3,9.5,2.7,3,4.3,"1,2",0,,0,0,,,,,,,,MICROBLADE-PRO,,,PLAIN,,,,,,
206,34,,5FS,,0,,22.5,8.4,2.1,2.2,1.4,0.6,0,,0,0,,,,,,,,MICROBLADE-PRO,,,LINEAR,,,,,,
212,34,,5FO,,0,,18.9,8.1,3.8,,,,0,END SCRAPER,1,1,DIRECT,,CONTINOUS,SHORT,LOW,SUB PARALLEL,,MICROBLADE- DIS,,,,,,,,,
63,34,,5FS,,0,,15.3,3,1.9,1.7,4.4,0.9,0,,0,0,,,,,,,,MICROBLADE- PRO,,,LINEAR,,,,,,
69,34,,5FS,,0,,26.6,6,1.7,1.4,,,,,0,0,,,,,,,,MICROBLADE-PRO,,,LINEAR,,,,,,
139,34,,5FS,,0,,23.3,6.5,2,2.4,3.5,1.4,0,,0,0,,,,,,,,MICROBLADE-PRO,,,LINEAR,,,,,,
138,34,,5FS,,0,,18.9,7.2,1.6,,,,0,,0,0,,,,,,,,MICROBLADE-DIS,,,,,,,,,
199,34,,5FS,,0,,18.4,6.2,1.4,1.6,,,0,,0,0,,,,,,,,MICROBLADE-PRO,,,PUNCTIFORM,,,,,,
230,34,,11FO,,0,,,,,,,,,,1,0,,,,,,,1,MICROBLADE-MED,,,,,,,,,
78,34,,11FO,خالدار,0,,9.4,9.6,2,2.2,,,0,,1,0,,,,,,,,MICROBLADE- PRO,,,LINEAR,,,,,,
*23,34,,11FO,,0,,45.8,12,2.4,,,,,,1,0,,,,,,,1,MICROBLADE,,,BROKEN,,,,,,
217,34,,11FS,STREAKS,0,,15.5,7.7,1.4,1.2,,,0,,0,0,,,,,,,,NICROBLADE-PRO,,,PUNCTIFORM,,,,,,
175,34,,11FO,,0,,31.6,7.8,1.6,"1,9",2.4,0.9,0,,0,0,,,,,,,,MICROBLADE,,,LINEAR,,,,,,
211,34,,11FO,,0,,22.7,11,1.9,2.9,3,0.7,0,,0,0,,,,,,,,MICROBLADE- PRO,,,,,,,,,
187,34,,11FO,,0,,24,7.9,2.8,,,,,,0,0,,,,,,,,MICROBLADE- DIS,,,,,,,,,
170,34,,11FO,,0,,18.2,6.4,1.8,,,,,,0,0,,,,,,,,MICROBLADE- MED,,,,,,,,,
133,34,,3FS,,0,,20.8,6.2,1.4,,,,,,0,0,,,,,,,,MICROBLADE- DIS,,,,,,,,,
123,34,,5FS,,0,,30,8.4,2.1,2.1,,,0,,0,0,,,,,,,,NICROBLADE- PRO,,,PUNCTIFORM,,,,,,
126,34,,2FO,,0,,21.2,12.1,3.1,,,,,,1,1,INVERSE,,DISCOUNTINOUS,SHORT,LOW,SUB-PARALLEL,0,MICROBLADE- MED,,,,,,,,,
68,34,,2FO,,0,,29.1,11.7,3.3,,,,,RETOUCH PIECE,1,1,DIRECT,,CONTINOUS,SHORT,LOW,SUB PARALLEL,0,MICROBLADE- MED,,,,,,,,,
150,34,,2FO,,0,,15.1,6.5,1.5,,,,,,1,0,,,,,,,0,MICROBLADE- MED,,,,,,,,,
177,34,,5FS,,0,,13.2,9,1.6,,,,,,0,0,,,,,,,0,MICROBLADE- MED,,,,,,,,,
169,34,,5FS,,0,,24.1,10,2.4,,,,,,0,0,,,,,,,,MICROBLDE-DIS,,,,,,,,,
166,34,,5FO,,0,,22.5,9.3,3.3,,,,,,0,0,,,,,,,,MICROBLADE- MED,,,,,,,,,
213,34,,5FS,,0,,19.6,8.6,1,1.3,2.8,0.7,0,,0,0,,,,,,,,MICROBLADE-PRO,,,LINEAR,,,,,,
38,34,,5FO,خالدار,0,,23.5,11.4,3.4,,,,,,1,0,,,,,,,,MICROBLADE-MED,,,,,,,,,
97,34,,5FO,,0,,26.2,7.7,2.6,,,,,,1,0,,,,,,,,MICROBLADE- DIS,,,,,,,,,
149,34,,5FS,,0,,21.5,7.7,1.5,,,,,,0,0,,,,,,,,MICROBLADE- MED,,,,,,,,,
42,34,,5FO,,0,,17.7,12.5,3.3,3.7,,,1,,0,0,,,,,,,,MICROBLADE- PRO,,,BROKEN,,,,,,
131,34,,5FO,,0,,16.6,6.7,1.9,,,,,,0,0,,,,,,,,MICROBLADE- DIS,,,,,,,,,
24,34,,5FS,,0,,26,12.5,2.8,3.2,4.5,1.1,0,,1,1,DIRECT,,COUNTINOUS,SHORT,LOW,SUB-PARALLEL,0,MICROBLADE- PRO,,,LINEAR?,,,,,,
234,34,,5FO,خالدار,0,,17.4,10.1,2.1,,,,,,0,0,,,,,,,0,MICROBLADE- MED,,,,,,,,,
226,34,,5FS,خالدار,0,,4.9,5.6,1.9,,,,,,0,0,,,,,,,,MICRPBLADE- DIS,,,,,,,,,
33,34,,5FS,,10,,19,9,2.4,2.7,,,,,0,0,,,,,,,0,MICROBLADE- PRO,,,,,,,,,
153,34,,3FO,,0,,23.9,9.2,1.8,1.9,6.2,1.2,0,,1,0,,,,,,,,MICROBLADE- PRO,,,FACETTED,,,,,,
164,34,,8FO,خالدار,0,,25.8,11.6,3.3,3.7,6.4,1.2,0,,0,0,,,,,,,,MICROBLADE- PRO,,,PLAIN,,,,,,
191,34,,10FO,,0,,23.4,7.2,2.1,2.1,,,0,,0,0,,,,,,,,MICROBLADE,,,PARTIALLY REMOVED,,,,,,
233,34,,7MO,خالدار,0,,34.7,2.8,3.9,3.3,3.1,1.3,0,,0,0,,,,,,,0,MICROBLADE- PRO,,,PLAIN,,,,,,
137,34,,3FS,خالدار,0,,29.1,8.6,1.6,,,,,,0,0,,,,,,,,MICROBLADE- MED,,,,,,,,,
85,34,,3FO,,0,,25.7,11,2.5,,,,,,0,0,,,,,,,,MICROBLADE- MED,,,,,,,,,
113,34,,3MO,,0,,28,9.2,1.9,,,,,,0,0,,,,,,,,MICROBLADE- DIS,,,,,,,,,
235,34,,3FS,,0,,17.4,5.3,1.4,,,,,,0,0,,,,,,,,MICROBLADE- MED,,,,,,,,,
192,34,,4MO,,0,,24.3,12.3,2.2,2.5,,,0,,1,0,,,,,,,,MICROBLADE- PRO,,,PARTIALY REMOVED,,,,,,
232,34,,7FO,,0,,15.6,8.2,8.2,,,,,,1,1,DIRECT,,PARTIAL,SHORT,LOW,SUB PARALLEL,0,MICROBLADE- DIS,,,,,,,,,
224,34,,13MO,,0,,24.3,10,2.5,,,,,,1,0,,,,,,,,MICROBLADE- MED,,,,,,,,,
144,34,PATCHY,14FO,,0,,22,5.8,2.8,,,,,,0,0,,,,,,,,MICROBLADE- MED,,,,,,,,,
205,34,,2FO,,0,,22.1,9.6,1.7,2,,,,,1,1,direct,,DISCOUNTINOUS,SHORT,LOW,SUB PARALLEL,0,MICROBLADE- PRO,,,,,,,,,
183,34,,12FO,,0,,22,11.8,2.5,,,,,,1,0,,,,,,,,MICROBLADE- MED,,,,,,,,,
236,34,,14FO,,0,,14.9,8.2,1.9,2.1,,,0,,,,,,,,,,,MICROBLADE- PRO,,,PARTIALY REMOVED,,,,,,
370,56,,,,0,,43.6,16.2,2,,,,,,1,1,DIRECT,,DISCOUNTINOUS,SHORT,LOW,,,MICROBLADE- ?,,,,,,,,,
280,56,,,,0,,41.3,12.6,2.5,2.9,4,1.2,0,,0,0,,,,,,,,MICROBLADE,,,FACETTED,,,,,,
278,56,,,,0,,27.7,12.5,2.9,3.3,2,1,0,,1,0,,,,,,,,MICROBLADE- PRO,,,PUNCTIFORM,,,,,,
339,56,,,,0,,32.6,7.9,1.9,2.1,3.3,0.9,0,NOTCH,1,1,DIRECT,,COUNTINOUS,SHORT,SEMI ABRUPT,PARALLEL,,MICROBLADE,,,LINEAR,,,,,,
274,56,,,,0,,39.2,9.7,2.3,2.6,5.3,2,1,,1,1,ALTERNATE,,TOTAL ON THE BOTH PROXIMAL EDGE,SHORT,LOW,SUB PARALLEL,0,MICROBLADE,,,PLAIN,,,,,,
309,56,,,,0,,20.7,8.4,2.5,,,,,,1,0,,,,,,,,MICROBLADE- MED,,,,,,,,,
303,56,,,,0,,34.1,12.2,2.6,3.1,4.6,1.3,0,,1,1,ALTERNATING,,COUNTINOUS,SHORT,SEMI- ABRUPT,SUB-PARALLEL,1,MICROBLADE-?,,,FACETED,,,,,,
414,56,,,,0,,27.4,9.8,1.8,,,,,,1,0,,,,,,,,MICROBLADE- MED,,,,,,,BURNT,,
355,56,,,,0,,14.8,9.9,2.6,,,,,,0,0,,,,,,,,MICROBLADE- MED,,,,,,,,,
277,56,,,,10,,30.7,10.6,1.8,2,4.7,1.1,0,,0,0,,,,,,,,MICROBLADE,,,LINEAR,,,,,,
292,56,,,,0,,25.8,8,1.1,1.3,2,0.4,1,,0,0,,,,,,,,MICROBLADE,,,LINEAR,,,,,,
276,56,,,,0,,18.2,14.9,3.4,4,4.5,3,1,,0,0,,,,,,,,MICROBLADE- PRO,,,PLAIN,,,,,,
368,56,,,,0,,12.8,8,2,,,,,,0,0,,,,,,,0,MICROBLADE- MED,,,,,,,,,
340,56,,,,0,,30,9.8,2.6,2.9,3.3,1.2,0,,1,0,,,,,,,,MICROBLADE- ?,,,LINEAR,,,,,,
374,56,,,,0,,46,8.7,1.8,2.4,3.9,1,0,,0,0,,,,,,,,microblade,,,LINEAR,,,,,,
291,56,,,,0,,24.6,12.6,2.5,2.5,1.2,0.8,0,,1,0,,,,,,,0,MICROBLADE,,,PUNCTIFORM,,,,,,
264,56,,,,0,,33.8,6.9,1.6,1.8,2.5,0.8,1,,0,0,,,,,,,0,MICROBLADE,,,LINEAR,,,,,,
424,56,,,,0,,20.3,10.4,1.5,,,,,,0,0,,,,,,,0,MICROBLADE- MED,,,,,,,,,
284,56,,,,0,,13.9,11.8,2.9,,,,,,,1,DIRECT,,COUNTINOUS,SHORT,SEMI ABRUPT,SUB PARALLEL,0,MICROBLADE- MED,,,,,,,BURNT,,
271,56,,,,0,,48.4,13.9,2.6,2.3,2.4,,,NOTCH,1,1,DIRECT,,COUNTINOUS,SHORT,LOW,SUB PARALLEL,0,MICROBLADE,,,PUNCTIFORM,,,,,,
409,56,,,,0,,16.9,7.6,2.7,,,,,,0,0,,,,,,,0,MICROBLADE- MED,,,,,,,,,
397,56,,,,0,,26.4,12.5,3.2,,,,,,1,0,,,,,,,,MICROBLADE- MED,,,,,,,,,
330,56,,,,30,,50,12.5,3.7,4.2,3.4,1.3,,,1,0,,,,,,,,MICROBLADE,,,PUNCTIFORM,,,,,,
418,56,,,,0,,20.8,7.5,1.9,,,,,,1,0,,,,,,,0,MICROBLADE- MED,,,,,,,BURNT,,
297,56,,,,0,,27.3,11.7,2.6,2.8,3.9,0.8,0,,1,0,,,,,,,0,MICROBLADE,,,LINEAR,,,,,,
327,56,,,,0,,17.6,11.5,1.6,,,,,,0,0,,,,,,,0,MICROBLADE,,,,,,,BURNT,,
364,56,,,,0,,15,13.6,1.8,,,,,,1,0,,,,,,,0,MICROBLADE- MED,,,,,,,,,
353,56,,,,0,,22.7,9.5,2.8,3.2,5,1.9,1,,1,0,,,,,,,0,microblade- PRO,,,PLAIN,,,,,,
422,56,,,,0,,26.5,8.4,2.3,,,,,,0,0,,,,,,,0,MICROBLADE- DIS,,,,,,,,,
359,56,,,,0,,22.1,10.1,2.4,,,,,,0,0,,,,,,,0,MICROBLADE- MED,,,,,,,,,
363,56,,,,0,,24.5,15.8,3.7,,,,,,1,0,,,,,,,0,MICROBLADE- MED,,,,,,,,,
376,56,,,,0,,27.4,13.3,2,2.7,5.5,1.4,,,0,0,,,,,,,0,MICROBLADE- PRO,,,FACETTED,,,,,,
350,56,,,,0,,32,13.1,2.8,3,3.7,1.4,,,0,0,,,,,,,0,MICROBLADE- PRO,,,PLAIN- PARTIALLY REMOVED,,,,,,
429,56,,,,0,,36.2,6.9,1.8,1.9,,,0,,0,0,,,,,,,0,MICROBLADE,,,PLAIN,,,,,,
417,56,,,,0,,22.2,6.6,1.7,,,,,,0,0,,,,,,,0,MICROBLADE- MED,,,,,,,,,
426,56,,,,0,,19.2,8.2,2.7,,,,0,,1,0,,,,,,,0,MICROBLADE- DIS,,,,,,,,,
310,56,,,,0,,23.5,8.1,1.8,2,,,0,,0,0,,,,,,,0,MICROBLADE- PRO,,,PARTIALLY REMOVED,,,,,,
270,56,,,,10,,26.3,16.8,4.2,,,,,,0,1,DIRECT,,PARTIAL,SHORT,LOW,SUB-PARALLEL,0,MICROBLADE- DIS,,,,,,,,,
293,56,,,,0,,23.7,7,2.1,2.3,,,0,,0,0,,,,,,,0,BLADELET,,,REMOVED,,,,,,
308,56,,,,0,,22.3,10.5,2.4,3,3.1,1.7,0,,0,0,,,,,,,0,BLADELET- PRO,,,?,,,,,,
371,56,,,,0,,26.4,10.8,2.3,2.4,,,0,,0,0,,,,,,,0,BLADELET,,,LINEAR,,,,,,
342,56,,,,0,,39.8,11.3,2.9,3,4.2,1.2,0,,1,0,,,,,,,0,BLADELET,,,PLAIN,,,,,,
314,56,,,,0,,34.2,12.8,3,4,4.4,1.4,0,,0,0,,,,,,,0,BLADELET,,,PLAIN,,,,,,
425,56,,,,0,,18,9.6,2.2,,,,,,0,0,,,,,,,0,BLADELET- MED,,,,,,,,,
396,56,,,,0,,14.5,10.8,2.4,,,,,,0,0,,,,,,,0,BLADELET- MED,,,,,,,,,
322,56,,,,0,,22.5,9.4,2.5,,,,,,0,0,,,,,,,,BLADELET- DIS,,,,,,,,,
266,56,,,,0,,28.4,8.1,2.2,,,,,,0,0,,,,,,,0,BLADELET- DIS,,,,,,,,,
392,56,,,,0,,16,8.1,2,,,,,,0,0,,,,,,,0,BLADELET- DIS,,,,,,,,,
415,56,,,,0,,16.9,6.6,1.9,,,,,,0,0,,,,,,,0,BLADELET- DIS,,,,,,,,,
367,56,,,,0,,11.5,11.3,1.5,,,,,,0,0,,,,,,,0,BLADELET-MED,,,,,,,,,
385,56,,,,0,,20.3,8.7,2.1,2.2,5.9,2,1,,1,0,,,,,,,0,BLADELET- PRO,,,FACETTED,,,,,,
384,56,,,,0,,11.4,4.7,0.9,,,,,,0,0,,,,,,,0,BLADELET- DIS,,,,,,,,,
305,56,,,,20,,35.3,13.8,3.6,4,2.5,1.4,0,,0,0,,,,,,,0,BLADELET- ?,,,PUNCTIFORM,,,,,,
389,56,,,,0,,16.1,9.3,1.8,,,,,,0,1,DIRECT,,PARTIAL,SHORT,LOW,SUB-PARALLEL,0,BLADELET- MED,,,,,,,,,
388,56,,,,0,,23.7,12.1,4.3,,,,,,1,0,,,,,,,0,BLADELET-  DIS,,,,,,,,,
301,56,,,,0,,28.2,12,3,3.8,3.1,1.4,,,1,0,,,,,,,0,BLADELET- PRO,,,PLAIN,,,,,,
316,56,,,,0,,19.3,9.8,2.1,,,,,,1,0,,,,,,,0,BLADELET- MED,,,,,,,,,
420,56,,,,0,,19.6,7,1.5,1.6,,,0,,1,0,,,,,,,0,BLADELET- PRO,,,LINEAR,,,,,,
407,56,,,,0,,20.7,7.6,3.2,,,,,,0,0,,,,,,,0,BLADELET- MED,,,,,,,,,
419,56,,,,0,,21.1,10.8,1.5,,,,,,0,0,,,,,,,0,BLADELET- MED,,,,,,,,,
431,56,,,,0,,29.8,9.8,2.5,2.9,3.2,1.6,1,,1,1,INVERSE,,PARTIAL,SHORT,LOW,SUB-PARALLEL,0,BLADELET,,,LINEAR,,,,,,
618,45,,,,0,,19.1,15.9,3.7,,,,,,0,0,,,,,,,0,BLADELET-MED,,,,,,,,,
669,45,,,,0,,19,9.4,1.8,,,,,NOTCH,1,1,INVERSE,,CONTINOUS,SHORT,LOW,SUB-PARALLEL,0,BLADELET-DIS,,,,,,,,,
450,45,,,,0,,20,12.2,2.9,,,,,,0,0,,,,,,,0,BLADELET-MED,,,,,,,,,
649,45,,,,0,,20.5,"5,3",2.3,,,,,,0,0,,,,,,,0,BLADELET-MED,,,,,,,,,
613,45,,,,0,,21.3,9.3,2.2,2.4,4.2,0.9,0,,0,0,,,,,,,0,BLADELET-PRO,,,LINEAR,,,,,,
439,45,,,,0,,15,8.1,1.6,,,,,,0,0,,,,,,,0,BLADELET-MED,,,,,,,,,
549,45,,,,0,,23.3,10.6,3.4,3.5,3.8,4.7,1,,0,0,,,,,,,0,BLADELET-PRO,,,LINEAR,,,,,,
511,45,,,,0,,20.9,7.4,1.6,1.9,3.6,0.9,0,,1,0,,,,,,,0,BLADELET-PRO,,,LINEAR,,,,,,
596,45,,,,0,,33,10.5,2.3,,,,,,1,0,,,,,,,0,BLADELET-DIS,,,,,,,,,
603,45,,,,0,,20.3,10,1.7,,,,,,0,0,,,,,,,0,BLADELET-MED,,,,,,,,,
685,45,,,,0,,14.4,7.8,1.5,,,,,,0,0,,,,,,,0,BLADELET-MED,,,,,,,,,
502,45,,,,0,,22,4.1,1.8,,,,,,1,0,,,,,,,0,BLADELET-PRO,,,,,,,,,
522,45,,,,0,,26.2,12.8,2,,,,,,1,0,,,,,,,0,BLADELET-MED,,,,,,,,,
539,45,,,,0,,36.3,8.2,2.1,,,,,,0,0,,,,,,,0,BLADELET-DIS,,,,,,,,,
610,45,,,,0,,30,12.3,3.5,3,4.1,0.9,0,,0,0,,,,,,,0,BLADELET,,,LINEAR,,,,,,
567,45,,,,0,,24.1,12.1,3.3,3.4,4.1,1.3,0,,0,0,,,,,,,0,BLADELET-PRO,,,LINEAR,,,,,,
497,45,,,,0,,27.9,11.4,2.1,,,,,,1,0,,,,,,,1,BLADELET-MED,,,,,,,,,
491,45,,,,0,,31.9,9.1,3.7,,,,,,1,0,,,,,,,0,BLADELET-MED,,,,,,,,,
665,45,,,,0,,16.9,6.7,1.6,,,,,,0,0,,,,,,,0,BLADELET-MED,,,,,,,,,
528,45,,,,0,,28.7,9.7,1.7,2.5,2.2,1.1,0,,0,0,,,,,,,0,BLADELET,,,PUNCTIFORM,,,,,,
602,45,,,,0,,23.6,10.1,3.2,3.4,4.1,1.7,0,,0,0,,,,,,,0,BLADELET-PRO,,,PLAIN,,,,,,
