"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"d1_a_1_60_70",0.458309365547818,1.03921454049721,1.67888838056129,0.382065623451909,-0.152784522351524
"d1_a_1_70_80",-1.97084165538617,-1.09774708757466,0.187755438848609,0.483692447598961,0.0931410953716598
"d1_a_2_40_60",-0.674833171372232,0.655799853676407,0.312226068650476,-0.2811847992789,-0.154595650385026
"d1_c_3_0_20",1.02464672913661,0.192816091120715,2.519715614995,0.94056195295337,-0.00767696637072908
"ta_d_1_230_250",1.70295746261439,-2.19574354875537,-0.537725079152489,1.44720671699018,0.44767749824689
"ta_d_1_250_260",0.755326034323226,0.648690702860591,-0.0809037795749792,0.141873745618332,0.256668422679005
"ta_d_1_260_270",-1.04045145556327,-0.0977119813676722,-0.402876476059781,-0.142497637206661,-0.262268721745611
"ta_d_2_190_200",-0.740420573024723,0.381110053884702,0.288063119697815,-0.705011010634046,0.18374293224981
"ta_d_2_200_210",1.55604103785572,-0.387113446053361,-0.906685545692053,1.16517112423171,-0.249902305232088
"ta_d_2_210_220",-1.28178338507506,0.32665841429614,-1.16967214569046,-0.0242099407599374,-0.262418551025097
"ta_d_2_220_230",-1.52882536685422,0.366653316049823,-1.13189339430014,-0.142812195294092,0.0819046989174089
"ta_d_2_230_240",-0.266026449289718,-0.0143183121417235,-0.0325266679032718,-0.105657874010715,0.11255489713744
"ta_d_3_150_180",0.603940614453942,0.591436448921973,-0.19288463336154,0.0945176828887637,0.0717185674644184
"ta_d_3_180_190",0.0164746227429217,-0.16275836745271,1.36936917509948,-0.51908256564904,0.218584637064263
"ta_d_4_120_150",0.673418888029851,0.0833274320643036,-0.409245647725416,-0.0875741378658075,0.00736219746202939
"ta_d_4_70_120",0.670398755516977,-0.591605006284944,-0.661249527819217,-0.614231173283047,0.680916915909503
"ta_e_5_40_50",0.457763552992635,2.48506782766559,0.0462199725899116,0.729237241349176,-0.191582986977347
"ta_e_5_50_60",0.50213024693026,1.67588652260798,-0.24403330830278,-0.180904194250451,0.089202238333055
"ta_e_5_60_70",5.98070533986208,-1.45848493212107,-0.589577478108933,-0.840335773666451,0.0192716927314705
"ta_e_6_0_30",0.471403819349626,1.1521175627975,-1.54771866570783,-0.166530296359508,-0.052147766109472
"ta_e_6_30_40",1.28245548655676,1.99236875750489,0.325358382772223,0.394703927893205,-0.116066276948709
"tp1_b_2_50_60",-0.668904455246187,-1.17101254924036,0.460961398483826,-0.0498662247580034,-0.647123547179371
"tp1_b_2_50_70",-0.452234446799724,1.05265238156417,-0.0823180476759378,-0.825885827543363,0.0319715443279296
"tp1_b_2_90_100",-1.51967232118508,-0.617442682484246,0.73978597659266,0.191010023877167,0.145040503596698
"tp1_c_3_0_20",0.339433603660016,-1.75345864852565,0.280260462249246,-0.769713902959766,-1.18666506183831
"tp1_c_3_10_30",-1.76627626658748,0.275786761075136,-1.49739524617891,0.0590000124491448,0.026503928585751
"tp1_c_3_10_90",-2.04972125003885,-1.47866218904216,-0.116360729554448,0.291264443102277,0.162757378450047
"tp1_c_3_20_30",-2.02805103172768,-1.37401518314449,-0.0328123316415202,0.344129279502466,0.143632025955985
"tp1_c_3_40_50",-0.507363731422317,-0.519512732398702,1.42727471390903,-1.20893666838686,0.510581181679735
