"","eigenvalue","percentage of variance","cumulative percentage of variance"
"comp 1",2.45885033029135,49.1770066058271,49.1770066058271
"comp 2",1.24266669377865,24.8533338755729,74.0303404814001
"comp 3",0.823465847616192,16.4693169523239,90.4996574337239
"comp 4",0.360849040862456,7.21698081724913,97.7166382509731
"comp 5",0.114168087451347,2.28336174902693,100
