"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"lithic_density",0.231414658524688,0.794448350634912,0.516324168019668,0.216267470969654,-0.0440091866836412
"core_frequency",0.910550321845077,-0.130110381027035,-0.156203180160797,0.293371651077302,0.208573826231037
"blank_frequency",-0.920266947844955,0.259822986405401,0.115111782495127,-0.0900522335714585,0.253457359725643
"retouch_frequency",0.839985284366818,0.0743876322655299,0.275311018372256,-0.456892884682793,0.0659085525724001
"tool_diversity",-0.154042735143227,-0.722183007694323,0.665904563985161,0.105593481626711,0.0119861356930845
