Lithic ID,TA,AREA,DEPTH (cm),Raw Material,Colour/Grain/Opacity,Pattern,Cortex (%),Weight (g),Length (mm),Width (mm),Thickness (mm),Bulb Thickness (mm),Platform Thickness (mm),platform Length (mm),Eraillure,Typology,Utilization,Retouch,Retouch Position,Retouch Localization,Retouch Distribution,Retouch Intensity,Retouch ANGLE,RETOUCH MORPHOLOGY,SHINE,Blank,Breakage,Num of Scars on Cores,Platform Typology,Removal blank,Core Typology,Termination,Comments,Photo Number
2636,TA/125,A,120-150,,,,0,,,18,3.7,4.4,4.1,1.5,0,,0,0,,,,,,,0,BLADE/PRO,0,,LINEAR,,,,,
2732,TA/125,A,120-150,,,,0,,,6.8,3.3,2.9,4,1.3,0,,1,0,,,,,,,1,BLADELET/ NEARLY COMPLETE,0,,,,,,,
2681,TA/125,A,120-150,,,,0,,,11.5,4.5,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,CREST,
2727,TA/125,A,120-150,,,,0,,,9.6,2,2.4,4.2,0.6,0,,0,0,,,,,,,0,BLADELET/PRO,0,,LINEAR,,,,,
2767,TA/125,A,120-150,,,,0,,,15.2,3.7,3.5,5.7,2.3,1,,0,0,,,,,,,0,BLADE/PRO,0,,PLAIN,,,,THERMAL,
2751,TA/125,A,120-150,,,,0,,,8.2,3.1,3.3,2.4,0.7,0,,0,0,,,,,,,0,BLADELET/PRO,0,,,,,,,
2735,TA/125,A,120-150,,,,0,,,13.3,3.3,3.6,3.7,1.3,0,,0,0,,,,,,,0,BLADE/PRO,0,,LINEAR,,,,,
2696,TA/125,A,120-150,,,,0,,,8.6,2.5,,,,,,0,0,,,,,,,0,BLADELE/MED,0,,,,,,,
2665,TA/125,A,120-150,,,,0,,,9.8,2.9,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,
2794,TA/125,A,120-150,,,,0,,,11.6,3.5,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,
2666,TA/125,A,120-150,,,,0,,,9.8,2.1,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,
2761,TA/125,A,120-150,,,,0,,,11.5,1.4,,,,,,0,0,,,,,,,0,BLADE/MED,0,,,,,,,
2711,TA/125,A,120-150,,,,5,,,8.8,2.3,3.2,2.9,1,0,,1,0,,,,,,,0,BLADELET/ NEARLY COMPLETE,0,,LINEAR,,,,,
2737,TA/125,A,120-150,,,,0,,31.2,9.6,2.6,2.6,,,0,NOTCH,1,1,,,,,,,0,BLADELET,0,,BROKEN,,,,,
2747,TA/125,A,120-150,,,,0,,,8.3,3,,,,,,1,0,,,,,,,0,BLADELET/MED,0,,,,,,,
2736,TA/125,A,120-150,,,,0,,,11.5,2.5,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,
2785,TA/125,A,120-150,,,,0,,,10.8,2.9,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,
2685,TA/125,A,120-150,,,,0,,,8.4,1.8,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,
2677,TA/125,A,120-150,,,,0,,,8.4,2,2.4,2.5,1,0,,0,0,,,,,,,0,BLADELET/PRO,0,,PUNCTIFORM,,,,NEARLY COMPLETE,
2704,TA/125,A,120-150,,,,0,,,8.5,2.2,2.7,2.1,0.9,0,,0,0,,,,,,,0,BLADELET/PRO,0,,PUNCTIFORM,,,,,
2753,TA/125,A,120-150,,,,0,,,10.9,2.5,,,,0,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,
2809,TA/125,A,120-150,,,,0,,,10.8,2.4,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,
2826,TA/125,A,120-150,,,,30,,,13.3,2.5,,,,,,0,0,,,,,,,0,BLADE/MED,0,,,,,,,
2769,TA/125,A,120-150,,,,0,,,10.8,2.8,,,,,,0,0,,,,,,,0,BLADELET/DIS,0,,,,,,,
2734,TA/125,A,120-150,,,,0,,,9,3.2,,,,,,0,0,,,,,,,0,BLADELET/DIS,0,,,,,,,
2749,TA/125,A,120-150,,,,0,,24.7,10,2,2.4,4.7,1.2,0,,0,0,,,,,,,0,BLADELET,0,,LINEAR,,,,,
2738,TA/125,A,120-150,,,,0,,,9.1,2.3,,,,,,0,0,,,,,,,0,BLADELET/DIS,0,,,,,,,
2634,TA/125,A,120-150,,,,0,,,9.4,3,,,,,,0,0,,,,,,,0,BLADELET/DIS,0,,,,,,,
2604,TA/125,A,120-150,,,,0,,,15.5,3.2,,,,,NOTCH,1,1,DIRECT,LEFT/DIS,PARTIAL,SHORT,SEMI ABRUPT,PARALLEL,0,BLADE/DIS,0,,,,,,,
2797,TA/125,A,120-150,,,,0,,,10.7,2.3,,,,,,0,0,,,,,,,0,BLADELET/DIS,0,,,,,,,
2812,TA/125,A,120-150,,,,0,,,10.4,2.4,,,,,,1,0,,,,,,,0,BLADELET/PRO,0,,BROKEN,,,,,
2744,TA/125,A,120-150,,,,0,,26.6,7.5,1.5,1.8,1.9,1,0,,0,0,,,,,,,0,BLADELET/ NEARLY COMPLETE,0,,PUNCTIFORM,,,,NEARLY COMPLETE,
2664,TA/125,A,120-150,,,,0,,,10.1,2.7,3.1,3.8,0.9,0,,1,0,,,,,,,1,BLADELET/PRO,0,,LINEAR,,,,,
2775,TA/125,A,120-150,,,,0,,26.2,9.5,1.6,1.5,2.1,0.9,0,,0,0,,,,,,,0,BLADELET/NEARLY COMPLETE,0,,LINEAR,,,,,
2645,TA/125,A,120-150,,,,0,,,12.6,3,3.3,,,,,1,0,,,,,,,0,BLADE/PRO,0,,CRUSHED?,,,,,
2813,TA/125,A,120-150,,,,0,,22.5,6.5,2.3,2.6,2.9,1.2,0,,0,0,,,,,,,0,BLADELET/ NEARLY COMPLETE,0,,LINEAR,,,,NEARLY COMPLETE,
2802,TA/125,A,120-150,,,,0,,,8.9,2.7,3.1,2.5,1.4,0,,0,0,,,,,,,0,BLADELET/PRO,0,,PUNCTIFORM,,,,,
2706,TA/125,A,120-150,,,,0,,19.5,7.8,2,2.3,3.6,1,1,,0,0,,,,,,,0,BLADELET,0,,LINEAR,,,,,
2760,TA/125,A,120-150,,,,0,,,10.7,2.4,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,
2771,TA/125,A,120-150,,,,0,,,8.5,1.7,,,,,,1,0,,,,,,,0,BLADELET/DIS,0,,,,,,,
2765,TA/125,A,120-150,,,,0,,26,7.7,2.1,2.3,2.2,1,0,,1,0,,,,,,,0,BLADELET/NEARLY COMPLETE,0,,LINEAR,,,,NEARLY COMPLETE,
2728,TA/125,A,120-150,,,,0,,,10,2.2,2.8,3.7,1,0,,0,0,,,,,,,0,BLADELET/PRO,0,,LINEAR,,,,,
2807,TA/125,A,120-150,,,,0,,32.8,7.8,2,2,2.9,0.9,0,,0,0,,,,,,,0,BLADELET,0,,LINEAR,,,,,
2608,TA/125,A,120-150,,,,0,,,10.3,2.5,2.8,4.5,1.7,0,,1,0,,,,,,,1,BLADELET/PRO,0,,PLAIN,,,,,
2627,TA/125,A,120-150,,,,0,,,9.6,2,,,,,,1,0,,,,,,,0,BLADELET/MED,0,,,,,,,
2773,TA/125,A,120-150,,,,0,,22.2,7.1,1.9,,,,,,1,0,,,,,,,0,BLADELET/NEARLY COMPLETE,0,,BROKEN,,,,NEARLY COMPLETE,
2675,TA/125,A,120-150,,,,0,,,12.6,3.3,3.5,3.3,1.4,0,,0,0,,,,,,,0,BLADE/PRO,0,,PLAIN,,,,,
2204,TA/125,A,120-150,,,,0,,,10.6,2.9,3.1,2.5,1.2,0,,0,0,,,,,,,0,BLADELET/PRO,0,,PLAIN,,,,,
2672,TA/125,A,120-150,,,,0,,,12,2,1.6,4,1,0,,0,0,,,,,,,0,BLADELET/PRO,0,,LINEAR,,,,,
2880,D1/46,D1,40-60,,,,0,,50,9.6,2,2.3,2.9,0.6,0,RETOUCHED PIECE,1,1,DIRECT,RIGHT/DISTAL,PARTIAL:DIS,SHORT,LOW,SUB PARALELL,0,BLADELET/NEARLY COMPLETE,0,,LINEAR,,,,NEARLY COMPLETE,
2878,D1/46,D1,40-60,,,,0,,,11.4,2.4,,,,,,0,0,,,,,,,0,BLADELET/DIS,0,,,,,,,
2893,D1/46,D1,40-60,,,,0,,,17.4,2.6,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,
2886,D1/46,D1,40-60,,,,0,,,7.8,2.5,,,,,,0,0,,,,,,,0,BLADELET/DIS,0,,,,,,,
2887,D1/46,D1,40-60,,,,0,,,8.3,4.6,4.7,3.6,1.4,0,,0,0,,,,,,,0,BLADELET/ NEARLY COMPLETE,0,,PUNCTIFORM,,,,,
2876,D1/46,D1,40-60,,,,0,,,8.1,1.5,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,
2903,D1/46,D1,40-60,,,,0,,,5.2,1.8,,,,,,0,0,,,,,,,0,BLADELET/DIS,0,,,,,,,
3009,D1/02,D1,0-20,,,,0,,,10.5,3.7,4,4,1.1,0,,1,0,,,,,,,0,BLADELET/PRO,0,,LINEAR,,,,PATINATED/ BURNT,
3010,D1/02,D1,0-20,,,,0,,40,12.3,2.8,3,6.1,1.8,0,RETOUCHED PIECE,1,1,DIRECT/INVERSE,LEFT/MED,DISCONTINOUS,SHORT,LOW,SUB PARALELL,0,BLADELET/NEARLY COMPLETE,0,,LINEAR,,,,,
3004,D1/02,D1,0-20,,,,0,,,11.9,2.9,,,,,RETOUCHED PIECE,1,1,DIRECT,LEFT/DIS,PARTIAL:DIS,SHORT,ABRUPT,SUB PARALELL,0,BLADELET/DIS,0,,,,,,,
3010,D1/02,D1,0-20,,,,0,,,10.5,2.7,,,,,BORER/ DRILL,0,1,DIRECT,LEFT/RIGHT/DIS,CONTINOUS,SHORT,ABRUPT,SUB PARALELL,0,BLADELET/DIS,0,,,,,,,
3011,D1/02,D1,0-20,,,,0,,,17.9,7.5,8,8.8,3.8,1,RETOUCHED PICE (SIDE SCRAPER?),1,1,DIRECT,LEFT/RIGHT,CONTINOUS/PARTIAL:PRO,SHORT,LOW,SUB PARALELL,0,BLADELET/PRO,0,,PLAIN,,,,POINT OF PERCUSSION,
3002,D1/02,D1,0-20,,,,50,,37.5,28.9,15,16.9,26,14.5,0,,0,0,,,,,,,0,FLAKE,0,,PLAIN,,,,POINT OF PERCUSSION,
3006,D1/02,D1,0-20,,,,0,,32,26,9,,,,,,0,0,,,,,,,0,FLAKE,0,,INDISTINCT,,,,,
3013,D1/02,D1,0-20,,,,0,,18.3,14.4,1.9,2.8,,,,,0,0,,,,,,,0,BLADE/PRO,0,,LINEAR: PARTIALLY BROKEN,,,,,
3005,D1/02,D1,0-20,,,,0,,22.8,18.6,5.7,6.5,,,,SCRAPER,0,1,,,,,,,0,FLAKE,0,,FACETTED,,,,POINT OF PERCUSSION,
3008,D1/02,D1,0-20,,,,0,,14.9,8,1.8,,,,,?,,,,,,,,,,,,,,,,,UTILISITION ON BREAKAGE,
3014,D1/23,D1,20-30,,,,15,,45,32,17.7,,,,,CORE,,,,,,,,,,,0,8,PREPARED,BLADELET (8),FLAT CORE/ UNIDIRECTIONAL/PRESSURE,,,
3024,D1/02,D1,0-20,,,,25,,28.2,11.5,3.4,4.2,3.8,1.3,0,,0,0,,,,,,,0,BLADELET/NEARLY COMPLETE,0,,PLAIN,,,,,
3018,D1/02,D1,0-20,,,,0,,36,10.9,3.3,3.9,,,0,,0,0,,,,,,,0,BLADELET,0,,INDISTINCT,,,,,
3019,D1/02,D1,0-20,,,,5,,,16.7,5,,,,,,1,0,,,,,,,0,BLADE/DIS,0,,,,,,HEAVILY USED,
3026,D1/02,D1,0-20,,,,0,,36,7.4,2.8,3.2,5.1,1,0,,1,0,,,,,,,0,BLADELET/NEARLY COMPLETE,0,,LINEAR,,,,,
3020,D1/02,D1,0-20,,,,0,,,11,3.1,,,,,SICKLE BLADE,1,0,,,,,,,1,BLADELET/MED,0,,,,,,HEAVILY USED/ ADHESIVE,
3021,D1/02,D1,0-20,,,,0,,,10.7,1.8,,,,,,0,0,,,,,,,0,BLADELET/DIS,0,,,,,,PATINATEDکامل پتینه نشده ,
3015,D1/02,D1,0-20,,,,0,,31.2,11.9,2.6,2.9,2.6,1.1,0,,1,0,,,,,,,0,BLADELET/NEARLY COMPLETE,0,,PUNCTIFORM,,,,,
3023,D1/02,D1,0-20,,,,25,,8.8,3.3,,,,,,RETOUCHED PIECE (SIDE SCRAPER?),0,1,DIRECT,LEFT,CONTINOUS,SHORT,SEMI ABRUPT,SUB PARALELL,0,BLADELET/MED,0,,,,,,,
3025,D1/02,D1,0-20,,,,0,,,10,2.2,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,
3016,D1/02,D1,0-20,,,,0,,34.8,11,3.2,,,,,,0,0,,,,,,,0,BLADELET,0,,BROKEN,,,,,
3022,D1/02,D1,0-20,,,,0,,,10.8,3.7,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,
3027,D1/02,D1,0-20,,,,0,,,,1.2,,,,,,0,0,,,,,,,0,INDISTINCT,,,,,,,,
2986,D1/78,D1,70-80,,,,0,,40,14.5,4,4.6,3.3,1.1,0,,1,0,,,,,,,0,BLADE/NEARLY COMPLETE,0,,LINEAR,,,,,
2988,D1/78,D1,70-80,,,,0,,,10.8,2.5,2.7,2.3,1.3,1,,0,0,,,,,,,0,BLADELET/PRO,0,,PUNCTIFORM,,,,,
2855,D3/02,D3,0-20,,,,0,,,11.9,3.5,,,,,RETOUCHED PIECE (DOUBLE SIDE SCRAPER?),0,1,DIRECT,LEFT/RIGHT,CONTINOUS,SHORT,SEMI ABRUPT,PARALLEL,0,BLADELET/MED,0,,,,,,,
2838,D3/02,D3,0-20,,,,0,,,8.8,2.2,2.7,3.4,1.3,0,,1,0,,,,,,,0,BLADELET/PRO,0,,PUNCTIFORM,,,,,
2841,D3/02,D3,0-20,,,,0,,,12.5,4.8,,,,,,1,0,,,,,,,0,BLADE/DIS,0,,,,HEAVILY USED,,,
2857,D3/02,D3,0-20,,,,0,,,7.7,2,,,,,,1,0,,,,,,,0,BLADELET/MED,0,,,,,,,
3845,D3/02,D3,0-20,,,,0,,45,9.1,1.8,2.4,3,1.2,0,,1,0,,,,,,,0,BLADELET,0,,LINEAR,,HEAVILY USED,,,
2850,D3/02,D3,0-20,,,,0,,,9.5,2.1,2.4,2.3,0.8,0,,0,0,,,,,,,0,BLADELET/PRO,0,,PUNCTIFORM,,BURNT,,,
2860,D3/02,D3,0-20,,,,30,,,9.9,2.9,,,,,,1,0,,,,,,,0,BLADELET/MED,0,,,,HEAVILY USED,,,
2861,D3/02,D3,0-20,,,,0,,,6.8,1.9,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,
2839,D3/02,D3,0-20,,,,0,,,7.3,1.3,1.5,2.9,0.6,0,,0,0,,,,,,,0,BLADELET/PRO,0,,LINEAR,,,,,
2863,D3/02,D3,0-20,,,,0,,,7,1.4,1.6,,,,,0,0,,,,,,,0,BLADELET/PRO,0,,CRUSHED,,,,,
3042,D4/02,D4,0-20,,,,0,,35.7,11.6,3,3.4,2.8,1.3,0,RETOUCHED PIECE,1,0,,,,,,,0,BLADELET,0,,PUNCTIFORM,,HEAVILY USED,,,
3041,D4/02,D4,0-20,,,,0,,,14.1,2.6,,,,,,1,0,,,,,,,0,BLADE/MED,0,,,,,,,
3057,D4/02,D4,0-20,,,,0,,,8.5,1.6,,,,,,0,0,,,,,,,0,BLADELET/DIS,0,,,,,,,
3050,D4/02,D4,0-20,,,,0,,,8.1,2.3,3,2.6,0.7,0,,1,0,,,,,,,0,BLADELET/NEARLY COMPLETE,0,,PUNCTIFORM,,PATINATED,,,
3050,D4/02,D4,0-20,,,,0,,,8.8,1.7,,,,,,0,0,,,,,,,0,BLADELET/DIS,0,,,,,,,
3059,D4/02,D4,0-20,,,,0,,,8.8,1.6,,,,,,0,0,,,,,,,0,BLADELET/DIS,0,,,,,,,
3045,D4/02,D4,0-20,,,,0,,,13.6,2.9,,,,,,0,0,,,,,,,0,BLADE/MED,0,,,,,,,
3053,D4/02,D4,0-20,,,,0,,,9.4,2.1,2.5,5.1,1,0,,0,0,,,,,,,0,BLADELET/PRO,0,,LINEAR,,,,,
2990,C1/02,C1,0-20,,,,0,,,18.7,4.3,,,,,NOTCH/DENTICULATE,0,1,DIRECT,LEFT/RIGHT,CONTINOUS,SHORT,LOW,PARALLEL,0,BLADE/MED,0,,,,,,,
2993,C1/02,C1,0-20,,,,0,,,15.8,8.6,2.8,3.1,2.9,0.8,,0,0,,,,,,,0,BLADELET,0,,PUNCTIFORM,,,,,
3028,D5/01,D5,0-10,,,,0,,32,15,8.1,7.4,3.7,2.3,1,NOTCH,1,1,DIRECT,LEFT,CONTINOUS,SHORT,LOW,PARALLEL,0,BLADE,0,,PLAIN,,,,,
3029,D5/01,D5,0-10,,,,0,,21.6,6,1.8,2,2.7,0.7,0,,1,0,,,,,,,0,BLADELET/NEARLY COMPLETE,0,,LINEAR,,PATINATED,,,
2874,C/01,C1,0-10,OBSIDIAN,,,0,,,18,3.5,5.2,5,2,0,,0,0,,,,,,,0,BLADE/PRO,0,,PLAIN,,,,,
2871,C/01,C1,0-10,,,,0,,,12.3,2.3,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,
2873,C/01,C1,0-10,,,,0,,14.5,9.7,2.2,1.9,,,,,0,0,,,,,,,0,FLAKE,0,,BROKEN,,,,,
3122,TA/189,A,180-190,,,,0,,,11.5,4,,,,,,0,0,,,,,,,0,BLADE/MED,0,,,,,,,
3149,TA189,A,180-190,,,,0,,,14.3,4.2,,,,,,0,0,,,,,,,0,BLADE/MED,0,,,,,,,
3068,TA/189,A,180-190,,,,0,,,10.8,3.1,,,,,,1,0,,,,,,,0,BLADELET/MED,0,,,,,,,
3077,TA/189,A,180-190,,,,0,,,10.1,3.7,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,
3141,TA/189,A,180-190,,,,0,,,11.9,2.9,,,,,,1,0,,,,,,,0,BLADELET/MED,0,,,,,,,
3091,TA/189,A,180-190,,,,0,,,8.7,1.6,,,,,,0,0,,,,,,,0,BLADELET/DIS,0,,,,,,,
3133,TA/189,A,180-190,,,,0,,,6.3,1.6,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,
3144,TA/189,A,180-190,,,,0,,,8.4,1.4,,,,,,0,0,,,,,,,0,BLADELET/DIS,0,,,,,,,
3173,TA/189,A,180-190,,,,0,,,10.6,2.5,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,
3098,TA/189,A,180-190,,,,0,,,15,2.8,3,4.4,1.2,,,0,0,,,,,,,0,BLADE/PRO,0,,LINEAR,,,,,
3099,TA/189,A,180-190,,,,0,,,7.9,1.3,,,,,,0,0,,,,,,,0,BLADELET/DIS,0,,,,,,,
3090,TA/189,A,180-190,,,,0,,,10.3,3,,,,,RETOUCHED PIECE,0,1,DIRECT,LEFT,PARTIAL,SHORT,LOW,PARALLEL,1,BLADELET/MED,0,,,,,,,
3074,TA/189,A,180-190,,,,25,,,10.8,4.2,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,
3108,TA/189,A,180-190,,,,0,,,11.6,3.3,,,,,,1,0,,,,,,,0,BLADELET/MED,0,,,,,,,
3175,TA/189,A,180-190,,,,0,,,10.1,1.9,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,
3168,TA/189,A,180-190,,,,0,,,7.9,3.5,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,
3131,TA/189,A,180-190,,,,0,,,10,1.7,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,
3107,TA/189,A,180-190,,,,0,,,12.4,3.7,,,,,,0,0,,,,,,,0,BLADE/MED,0,,,,,,,
3081,TA/189,A,180-190,,,,0,,,18.4,2.6,,,,,,0,0,,,,,,,0,BLADE/MED,0,,,,,,,
3086,TA/189,A,180-190,,,,0,,,12,4.1,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,
3118,TA/189,A,180-190,,,,0,,,14.3,3.9,,,,,,1,0,,,,,,,0,BLADE/MED,0,,,,,,UTILIZATION ON BRAKAGE,
3139,TA/189,A,180-190,,,,0,,,11.7,3.3,,,,,,0,0,,,,,,,0,BLADELET/DIS,0,,,,,,,
3170,TA/189,A,180-190,,,,0,,,10,1.7,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,
3145,TA/189,A,180-190,,,,0,,,6.7,1.7,,,,,,0,0,,,,,,,0,BLADELET/DIS,0,,,,,,,
3114,TA/189,A,180-190,,,,0,,,12.6,2.7,,,,,,0,0,,,,,,,0,BLADELET/DIS,0,,,,,,,
3165,TA/189,A,180-190,,,,0,,,11.2,4.7,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,
3163,TA/189,A,180-190,,,,0,,,12.8,3,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,
3127,TA/189,A,180-190,,,,0,,,9,2,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,
3153,TA/189,A,180-190,,,,0,,,8.4,2.4,,,,,,0,0,,,,,,,0,BLADELET/DIS,0,,,,,,,
3094,TA/189,A,180-190,,,,5,,,9.7,2.1,,,,,,0,0,,,,,,,0,BLADELET/DIS,0,,,,,,,
3073,TA/189,A,180-190,,,,0,,,12.7,2.5,3,,,0,,1,0,,,,,,,0,BLADELET/PRO,0,,LINEAR,,,,,
3070,TA/189,A,180-190,,,,0,,,9.8,2.9,,,,,,0,0,,,,,,,0,BLADELET/DIS,0,,,,,,,
3136,TA/189,A,180-190,,,,0,,33.6,6.2,1.2,1.1,2.1,1.1,0,,0,0,,,,,,,0,BLADELET,0,,LINEAR,,,,,
3158,TA/189,A,180-190,,,,0,,44.6,7.9,1.4,1.8,4.2,1,0,,0,0,,,,,,,0,BLADELET,0,,LINEAR,,,,,
3102,TA/189,A,180-190,,,,0,,,8.1,2,2.2,2.4,0.8,0,,0,0,,,,,,,0,BLADELET/PRO,0,,LINEAR,,,,,
3151,TA/189,A,180-190,,,,0,,,10,1.6,2.2,4.4,1,0,,0,0,,,,,,,0,BLADELET/PRO,0,,LINEAR,,,,,
2870,طبیعی,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,
2872,C/01,C,0-10,,,,20,,35,30,19,,,,,CORE TOOL (SCRAPER),1,1,,,,,,,0,,0,,,,,,,
3176,TA/189,A,180-190,,,,0,,,9,1.3,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,
3154,TA/189,A,180-190,,,,0,,,7,3.8,,,,,,0,0,,,,,,,0,BLADELET/DIS,0,,,,,,,
3150,TA/189,A,180-190,,,,0,,,9.3,3,,,,,,1,0,,,,,,,0,BLADELET/MED,0,,,,,,کنگره در اثر استفاده ایجاد شده,
3123,TA/189,A,180-190,,,,0,,,8.3,1.3,,,,,,1,0,,,,,,,0,BLADELET/DIS,0,,,,,,,
3076,TA/189,A,180-190,,,,0,,,12.9,4,3.7,2.7,1.5,0,,0,0,,,,,,,0,BLADELET/PRO,0,,PUNCTIFORM,,,,,
3072,TA/189,A,180-190,,,,0,,,8.9,3,2.4,5.3,2.2,0,,0,0,,,,,,,0,BLADELET/PRO,0,,PLAIN,,,,,
3128,TA/189,A,180-190,,,,0,,,7.4,1.7,,,,,,0,0,,,,,,,0,BLADELET/MED,0,,,,,,,
3120,TA/189,A,180-190,,,,0,,,9.3,2.3,3,2.9,1.2,0,,0,0,,,,,,,0,BLADELET/PRO,0,,PUNCTIFORM,,,,,
3093,TA/189,A,180-190,,,,0,,,9.6,2.2,2.4,3.3,1.4,0,,1,0,,,,,,,0,BLADELET/PRO,0,,LINEAR,,,,,
3161,TA/189,A,180-190,,,,0,,,9.2,2.5,,,,0,,1,0,,,,,,,0,BLADELET/MED,0,,,,,,,
3134,TA/189,A,180-190,,,,0,,,9.5,2.1,2.4,4.5,0.7,0,,0,0,,,,,,,0,BLADELET/PRO,0,,LINEAR,,,,,
3174,TA/189,A,180-190,,,,0,,23.6,8.2,1.9,2.2,4.2,1.2,0,,0,0,,,,,,,0,BLADELET/NEARLY COMPLETE,0,,LINEAR,,,,,
3075,TA/189,A,180-190,,,,0,,,10.9,1.5,2.3,3.8,0.4,0,,0,0,,,,,,,0,BLADELET/PRO,0,,LINEAR,,,,,
3179,TA/189,A,180-190,,,,0,,,8.6,2.6,,,,0,,1,0,,,,,,,0,BLADELET/DIS,0,,,,,,UTILIZATION ON BREAKAGE,
3201,TA/189,A,180-190,,,,0,,,11,4.4,,,,0,,1,0,,,,,,,0,BLADELET/DIS,0,,,,,,,
3224,TA/189,A,180-190,,,,0,,,9.1,2.4,,,,0,,0,0,,,,,,,0,BLADELET/MED,,,,,,,,
3212,TA/189,A,180-190,,,,0,,,14,4.5,4.8,4.9,2,0,DENTICULATE,1,1,DIRECT,RIGHT,CONTINOUS,SHORT,LOW,PARALLEL,0,BLADE/PRO,0,,PLAIN,,,,لبه سمت چپ در اثر استفاده دندانه دار شده است (SERRATED طور),
3203,TA/189,A,180-190,,,,0,,,15.5,3.2,,,,0,RETOUCHED PIECE (SCRAPER),1,1,DIRECT,LEFT,CONTINOUS,SHORT,LOW,PARALLEL,0,BLADE/MED,0,,,,,,,
3207,TA/189,A,180-190,,,,0,,,13.6,2.2,2.5,5.8,1.5,0,,0,1,DIRECT,RIGHT,PARTIAL,SHORT,LOW,PARALLEL,0,BLADE/PRO,0,,LINEAR,,,,,
3198,TA/189,A,180-190,,,,15,,20,18,5.5,5.8,8.1,4.9,0,INVERSE DENTICULATE?,1,1,INVERSE,RIGHT/LFT,PARTIAL:DIS,SHORT,LOW/SEMIABRUPT,PARALLEL,0,FLAKE,0,,PLAIN,,,,,
3211,TA/189,A,180-190,,,,0,,,12.8,3.9,,,,0,RETOUCHED PIECE (SCRAPER?),1,1,ALTERNATE,RIGHT/LEFT,PARTIAL:PRO,SHORT,LOW,PARALLEL,1,BLADE/MED,0,,,,,,روتوش برای دسته گذاری,
3220,TA/189,A,180-190,,,,0,,,12,2,2.3,4,1.4,0,,1,0,,,,,,,0,BLADELET/PRO,0,,LINEAR,,,,,
3226,TA/189,A,180-190,,,,10,,,10.6,2.4,3.3,2.7,1.3,0,,0,0,,,,,,,0,BLADELET/PRO,0,,PUNCTIFORM,,,,,
3210,TA/189,A,180-190,,,,0,,15.2,13.2,4.8,5.2,7.6,3.3,0,,,,,,,,,,0,FLAKE,0,,FACETTED,,,,,
3225,TA/189,A,180-190,,,,0,,,12,2.6,,,,,,1,0,,,,,,,0,BLADELET/MED,0,,,,,,,
3229,TA/189,A,180-190,,,,0,,,9.3,2.5,,,,,?,0,1,INVERSE,LEFT,,SHORT,LOW,SUB PARALLEL,0,BLADELET/MED,0,,,,,,,
3259,TA/201,A,200-210,,,,0,,34,12.6,3.6,4.2,4.9,2,0,,1,0,,,,,,,1,BLADE/PRO,0,,PLAIN,,,,,
3252,TA/201,A,200-210,,,,0,,,10.8,3.7,,,,0,,1,0,,,,,,,1,BLADELET/MED,0,,,,,,,
3264,TA/201,A,200-210,,,,0,,,8.8,2.8,,,,,,1,0,,,,,,,0,BLADELET/MED,0,,,,,,,
3262,TA/201,A,200-210,,,,0,,,9.4,2.4,,,,,,1,0,,,,,,,0,BLADELET/DIS,0,,,,,,هر دو لبه در اثر استفاده دندانه دار شده است (SERRATED طور),
3254,TA/201,A,200-210,,,,0,,,9.4,3.7,3.5,4.4,2,0,DENTICULATE,1,1,INVERSE,RIGHT,CONTINOUS,SHORT,LOW,SUB PARALLEL,1,BLADELET/PRO,0,,PLAIN,,,,روتوش ها نامنظم,
