Lithic ID,TA,AREA,DEPTH (cm),Raw Material,Colour/Grain/Opacity,Pattern,Cortex (%),Weight (g),Length (mm),Width (mm),Thickness (mm),Bulb Thickness (mm),Platform Thickness (mm),platform Length (mm),Eraillure,Typology,Utilization,Retouch,Retouch Position,Retouch Localization,Retouch Distribution,Retouch Intensity,Retouch ANGLE,RETOUCH MORPHOLOGY,SHINE,Blank,Breakage,Num of Scars on Cores,Platform Typology,Removal blank,Core Typology,Termination,Comments,Photo Number
67,34,A,30-40,,7MO,STREAKS,0,,15.9,11.3,2.4,,-,,,,0,0,,,,,,,,BLADELET-MED,,,,,,,,
146,34,A,30-40,,5FO,خالدار,0,,21.6,6.5,2,2.7,2.7,0.8,,,1,0,,,,,,,,BLADELET.PRO,,,PLAIN,,,,,
136,34,A,30-40,,7FO,,15,,28,9.9,3,2.8,-,-,1,,1,0,,,,,,,,BLADELET-PRO,,,LINEAR,,,,,
185,34,A,30-40,,,,0,,15.6,10.5,2.6,,-,0,,,0,0,,,,,,,,BLADELET-DIS,,,,,,,,
28,34,A,30-40,,3MO,,0,,37.3,8.6,4,4.1,2.9,1.8,,,0,0,,,,,,,,BLADELET-PRO,,,PLAIN,,,,,
186,34,A,30-40,,5FO,,5,,37.1,13.4,3.6,2.6,7.5,2.1,1,,0,0,,,,,,,,BLADELET,,,PLAIN,,,,,
48,34,A,30-40,,5FS,,0,,22,12.5,3.2,3.9,9,2.8,,,0,1,DIRECT,,CONTINOUS,SHORT,ABRUPT,SUB PARALLEL,,BLAEDLET-PRO,,,REMOVED,,,,,
203,34,A,30-40,,7Fo,,0,,32.3,11.3,2.4,,,,,NOTCH ,1,1,INVERSED,,CONTINOUS,SHORT,LOW,sub parallel,,MICROBLADE-MEDIAL,,,,,,,,
86,34,A,30-40,,5FS,,0,,16.6,6,1.6,1.7,2,1,,,0,0,,,,,,,,microblade,,,LINEAR,,,,,
72,34,A,30-40,,5FS,,0,,27.6,8,1.7,1.7,,,,,0,0,,,,,,,,MICROBLADE-PRO,,,PUNCTIFORM,,,,,
81,34,A,30-40,,5FO,,0,,32.8,11.6,2.5,2.7,,,,,0,0,,,,,,,,MICROBLADE-PRO,,,LINEAR,,,,,
31,34,A,30-40,,5FS,,0,,25.7,7.4,1.4,2.1,2.5,1.8,0,,0,0,,,,,,,,MICROBLADE,,,,,,,,
46,34,A,30-40,,5FO,,0,,39.1,13.6,3.1,,,,,,1,0,,,,,,,,MICROBLADE,,,,,,,,
157,34,A,30-40,,5FO,,0,,34,9.9,3.6,5,4.5,1.7,0,,0,0,,,,,,,,MICROBLADE,,,FACETTED,,,,,
27,34,A,30-40,,5FS,,0,,25.8,8.5,1.7,1.9,3.7,1.4,1,,0,0,,,,,,,,MICROBLADE,,,,,,,,
102,34,A,30-40,,5FS,,0,,19.6,10,2.4,2.7,2.7,0.8,0,,0,0,,,,,,,,MICROBLADE-PRO,,,LINEAR,,,,,
158,34,A,30-40,,5FS,,0,,42.3,7.3,1.9,1.9,3.1,0.8,0,,0,0,,,,,,,,MICROBLADE-PRO,,,LINEAR,,,,,
147,34,A,30-40,,5FS,خالدار,0,,25.3,7.5,1.5,2.2,4.5,1.7,0,,,,,,,,,,,MICROBLADE-PRO,,,,,,,,
*36,34,A,30-40,,5FO,,0,,25.2,11.2,3,,,,,retouch piece,1,1,DIRECT,,,SHORT,LOW,SUB PARALLEL,,MICROBLADE-DIS,1,,,,,,,
51,34,A,30-40,,5FO,,0,,18.5,10.8,2.8,,,,,,0,0,,,,,,,,MICROBLADE-PRO,,,REMOVED,,,,,
132,34,A,30-40,,5FS,,0,,32.8,5.7,0.8,1,2.4,0.4,0,,0,0,,,,,,,,MICROBLADE-PRO,,,LINEAR,,,,,
124,34,A,30-40,,5FS,,0,,23.6,8.1,2.1,2.6,5,2.3,0,,0,0,,,,,,,,MICROBLADE-PRO,,,FACETTED,,,,,
32,34,A,30-40,,5FO,,0,,25,6.1,2,2.2,,,,,1,0,,,,,,,,MICROBLADE,,,,,,,,
80,34,A,30-40,,5FS,,0,,20.9,7,1.7,,,,,,0,0,,,,,,,,MICROBLADE-MEDIAL,,,,,,,,
105,34,A,30-40,,5FO,,0,,22.3,9.5,2.7,3,4.3,"1,2",0,,0,0,,,,,,,,MICROBLADE-PRO,,,PLAIN,,,,,
206,34,A,30-40,,5FS,,0,,22.5,8.4,2.1,2.2,1.4,0.6,0,,0,0,,,,,,,,MICROBLADE-PRO,,,LINEAR,,,,,
212,34,A,30-40,,5FO,,0,,18.9,8.1,3.8,,,,0,END SCRAPER,1,1,DIRECT,,CONTINOUS,SHORT,LOW,SUB PARALLEL,,MICROBLADE- DIS,,,,,,,,
63,34,A,30-40,,5FS,,0,,15.3,3,1.9,1.7,4.4,0.9,0,,0,0,,,,,,,,MICROBLADE- PRO,,,LINEAR,,,,,
69,34,A,30-40,,5FS,,0,,26.6,6,1.7,1.4,,,,,0,0,,,,,,,,MICROBLADE-PRO,,,LINEAR,,,,,
139,34,A,30-40,,5FS,,0,,23.3,6.5,2,2.4,3.5,1.4,0,,0,0,,,,,,,,MICROBLADE-PRO,,,LINEAR,,,,,
138,34,A,30-40,,5FS,,0,,18.9,7.2,1.6,,,,0,,0,0,,,,,,,,MICROBLADE-DIS,,,,,,,,
199,34,A,30-40,,5FS,,0,,18.4,6.2,1.4,1.6,,,0,,0,0,,,,,,,,MICROBLADE-PRO,,,PUNCTIFORM,,,,,
230,34,A,30-40,,11FO,,0,,,,,,,,,,1,0,,,,,,,1,MICROBLADE-MED,,,,,,,,
78,34,A,30-40,,11FO,خالدار,0,,9.4,9.6,2,2.2,,,0,,1,0,,,,,,,,MICROBLADE- PRO,,,LINEAR,,,,,
*23,34,A,30-40,,11FO,,0,,45.8,12,2.4,,,,,,1,0,,,,,,,1,MICROBLADE,,,BROKEN,,,,,
217,34,A,30-40,,11FS,STREAKS,0,,15.5,7.7,1.4,1.2,,,0,,0,0,,,,,,,,NICROBLADE-PRO,,,PUNCTIFORM,,,,,
175,34,A,30-40,,11FO,,0,,31.6,7.8,1.6,"1,9",2.4,0.9,0,,0,0,,,,,,,,MICROBLADE,,,LINEAR,,,,,
211,34,A,30-40,,11FO,,0,,22.7,11,1.9,2.9,3,0.7,0,,0,0,,,,,,,,MICROBLADE- PRO,,,,,,,,
187,34,A,30-40,,11FO,,0,,24,7.9,2.8,,,,,,0,0,,,,,,,,MICROBLADE- DIS,,,,,,,,
170,34,A,30-40,,11FO,,0,,18.2,6.4,1.8,,,,,,0,0,,,,,,,,MICROBLADE- MED,,,,,,,,
133,34,A,30-40,,3FS,,0,,20.8,6.2,1.4,,,,,,0,0,,,,,,,,MICROBLADE- DIS,,,,,,,,
123,34,A,30-40,,5FS,,0,,30,8.4,2.1,2.1,,,0,,0,0,,,,,,,,NICROBLADE- PRO,,,PUNCTIFORM,,,,,
126,34,A,30-40,,2FO,,0,,21.2,12.1,3.1,,,,,,1,1,INVERSE,,DISCOUNTINOUS,SHORT,LOW,SUB-PARALLEL,0,MICROBLADE- MED,,,,,,,,
68,34,A,30-40,,2FO,,0,,29.1,11.7,3.3,,,,,RETOUCH PIECE,1,1,DIRECT,,CONTINOUS,SHORT,LOW,SUB PARALLEL,0,MICROBLADE- MED,,,,,,,,
150,34,A,30-40,,2FO,,0,,15.1,6.5,1.5,,,,,,1,0,,,,,,,0,MICROBLADE- MED,,,,,,,,
177,34,A,30-40,,5FS,,0,,13.2,9,1.6,,,,,,0,0,,,,,,,0,MICROBLADE- MED,,,,,,,,
169,34,A,30-40,,5FS,,0,,24.1,10,2.4,,,,,,0,0,,,,,,,,MICROBLDE-DIS,,,,,,,,
166,34,A,30-40,,5FO,,0,,22.5,9.3,3.3,,,,,,0,0,,,,,,,,MICROBLADE- MED,,,,,,,,
213,34,A,30-40,,5FS,,0,,19.6,8.6,1,1.3,2.8,0.7,0,,0,0,,,,,,,,MICROBLADE-PRO,,,LINEAR,,,,,
38,34,A,30-40,,5FO,خالدار,0,,23.5,11.4,3.4,,,,,,1,0,,,,,,,,MICROBLADE-MED,,,,,,,,
97,34,A,30-40,,5FO,,0,,26.2,7.7,2.6,,,,,,1,0,,,,,,,,MICROBLADE- DIS,,,,,,,,
149,34,A,30-40,,5FS,,0,,21.5,7.7,1.5,,,,,,0,0,,,,,,,,MICROBLADE- MED,,,,,,,,
42,34,A,30-40,,5FO,,0,,17.7,12.5,3.3,3.7,,,1,,0,0,,,,,,,,MICROBLADE- PRO,,,BROKEN,,,,,
131,34,A,30-40,,5FO,,0,,16.6,6.7,1.9,,,,,,0,0,,,,,,,,MICROBLADE- DIS,,,,,,,,
24,34,A,30-40,,5FS,,0,,26,12.5,2.8,3.2,4.5,1.1,0,,1,1,DIRECT,,COUNTINOUS,SHORT,LOW,SUB-PARALLEL,0,MICROBLADE- PRO,,,LINEAR?,,,,,
234,34,A,30-40,,5FO,خالدار,0,,17.4,10.1,2.1,,,,,,0,0,,,,,,,0,MICROBLADE- MED,,,,,,,,
226,34,A,30-40,,5FS,خالدار,0,,4.9,5.6,1.9,,,,,,0,0,,,,,,,,MICRPBLADE- DIS,,,,,,,,
33,34,A,30-40,,5FS,,10,,19,9,2.4,2.7,,,,,0,0,,,,,,,0,MICROBLADE- PRO,,,,,,,,
153,34,A,30-40,,3FO,,0,,23.9,9.2,1.8,1.9,6.2,1.2,0,,1,0,,,,,,,,MICROBLADE- PRO,,,FACETTED,,,,,
164,34,A,30-40,,8FO,خالدار,0,,25.8,11.6,3.3,3.7,6.4,1.2,0,,0,0,,,,,,,,MICROBLADE- PRO,,,PLAIN,,,,,
191,34,A,30-40,,10FO,,0,,23.4,7.2,2.1,2.1,,,0,,0,0,,,,,,,,MICROBLADE,,,PARTIALLY REMOVED,,,,,
233,34,A,30-40,,7MO,خالدار,0,,34.7,2.8,3.9,3.3,3.1,1.3,0,,0,0,,,,,,,0,MICROBLADE- PRO,,,PLAIN,,,,,
137,34,A,30-40,,3FS,خالدار,0,,29.1,8.6,1.6,,,,,,0,0,,,,,,,,MICROBLADE- MED,,,,,,,,
85,34,A,30-40,,3FO,,0,,25.7,11,2.5,,,,,,0,0,,,,,,,,MICROBLADE- MED,,,,,,,,
113,34,A,30-40,,3MO,,0,,28,9.2,1.9,,,,,,0,0,,,,,,,,MICROBLADE- DIS,,,,,,,,
235,34,A,30-40,,3FS,,0,,17.4,5.3,1.4,,,,,,0,0,,,,,,,,MICROBLADE- MED,,,,,,,,
192,34,A,30-40,,4MO,,0,,24.3,12.3,2.2,2.5,,,0,,1,0,,,,,,,,MICROBLADE- PRO,,,PARTIALY REMOVED,,,,,
232,34,A,30-40,,7FO,,0,,15.6,8.2,8.2,,,,,,1,1,DIRECT,,PARTIAL,SHORT,LOW,SUB PARALLEL,0,MICROBLADE- DIS,,,,,,,,
224,34,A,30-40,,13MO,,0,,24.3,10,2.5,,,,,,1,0,,,,,,,,MICROBLADE- MED,,,,,,,,
144,34,A,30-40,PATCHY,14FO,,0,,22,5.8,2.8,,,,,,0,0,,,,,,,,MICROBLADE- MED,,,,,,,,
205,34,A,30-40,,2FO,,0,,22.1,9.6,1.7,2,,,,,1,1,direct,,DISCOUNTINOUS,SHORT,LOW,SUB PARALLEL,0,MICROBLADE- PRO,,,,,,,,
183,34,A,30-40,,12FO,,0,,22,11.8,2.5,,,,,,1,0,,,,,,,,MICROBLADE- MED,,,,,,,,
236,34,A,30-40,,14FO,,0,,14.9,8.2,1.9,2.1,,,0,,,,,,,,,,,MICROBLADE- PRO,,,PARTIALY REMOVED,,,,,
370,56,A,50-60,,,,0,,43.6,16.2,2,,,,,,1,1,DIRECT,,DISCOUNTINOUS,SHORT,LOW,,,MICROBLADE- ?,,,,,,,,
280,56,A,50-60,,,,0,,41.3,12.6,2.5,2.9,4,1.2,0,,0,0,,,,,,,,MICROBLADE,,,FACETTED,,,,,
278,56,A,50-60,,,,0,,27.7,12.5,2.9,3.3,2,1,0,,1,0,,,,,,,,MICROBLADE- PRO,,,PUNCTIFORM,,,,,
339,56,A,50-60,,,,0,,32.6,7.9,1.9,2.1,3.3,0.9,0,NOTCH,1,1,DIRECT,,COUNTINOUS,SHORT,SEMI ABRUPT,PARALLEL,,MICROBLADE,,,LINEAR,,,,,
